Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Greg Van Avermaet,1.81,74,Lokeren,AG2R Citroën Team,476,115,37,BE
Oliver Naesen,1.84,74,Oostende,AG2R Citroën Team,339,190,32,BE
Benoît Cosnefroy,1.79,65,Cherbourg-en-Cotentin,AG2R Citroën Team,949,38,27,FR
Ben O'Connor,1.88,67,Subiaco,AG2R Citroën Team,958,36,27,AU
Marc Sarreau,1.82,76,Vierzon,AG2R Citroën Team,336,192,29,FR
Andrea Vendrame,1.68,60,Conegliano,AG2R Citroën Team,433,136,28,IT
Mikaël Cherel,1.86,65,Saint-Hilaire-du-Harcouët,AG2R Citroën Team,99,490,36,FR
Michael Schär,1.98,78,Geuensee,AG2R Citroën Team,60,670,36,CH
Clément Venturini,1.65,60,Villeurbanne,AG2R Citroën Team,273,233,29,FR
Aurélien Paret-Peintre,1.84,64,Annemasse,AG2R Citroën Team,253,250,27,FR
Dorian Godon,1.9,73,Vitry-sur-Seine,AG2R Citroën Team,244,258,26,FR
Franck Bonnamour,1.8,70,Lannion,AG2R Citroën Team,201,289,27,FR
Geoffrey Bouchard,1.78,63,Dijon,AG2R Citroën Team,294,218,30,FR
Larry Warbasse,1.83,67,Traverse City,AG2R Citroën Team,25,1074,32,US
Nans Peters,1.77,71,Grenoble,AG2R Citroën Team,215,276,28,FR
Stan Dewulf,1.76,74,Stavele,AG2R Citroën Team,162,346,25,BE
Damien Touzé,1.74,69,Iville,AG2R Citroën Team,108,451,26,FR
Lawrence Naesen,1.9,72,Berlare,AG2R Citroën Team,44,809,30,BE
Felix Gall,1.78,66,Nußdorf-Debant,AG2R Citroën Team,283,228,25,AT
Jaakko Hänninen,1.77,60,Ruokolahti,AG2R Citroën Team,88,545,25,FI
Clément Berthet,1.84,68,Pierre Bénite,AG2R Citroën Team,182,318,25,FR
Nicolas Prodhomme,1.74,62,L'Aigle,AG2R Citroën Team,54,721,26,FR
Paul Lapeira,1.76,64,Fougères,AG2R Citroën Team,65,634,22,FR
Alex Baudin,1.83,66,Albertville,AG2R Citroën Team,99,493,21,FR
Valentin Retailleau,1.81,64,Limoges,AG2R Citroën Team,47,776,22,FR
Bastien Tronchon,1.85,72,Chambéry,AG2R Citroën Team,53,732,20,FR
Valentin Paret-Peintre,1.76,52,Annemasse,AG2R Citroën Team,36,900,22,FR
Antoine Raugel,1.85,70,Strasbourg,AG2R Citroën Team,46,783,24,FR
Pierre Gautherat,1.77,70,Colmar,AG2R Citroën Team,45,801,20,FR
Mathieu Van Der Poel,1.84,75,Kapellen,Alpecin-Deceuninck,1255.5,16,28,NL
Jasper Philipsen,1.76,75,Ham,Alpecin-Deceuninck,1350,10,25,BE
Søren Kragh Andersen,1.78,73,Strib,Alpecin-Deceuninck,380,159,28,DK
Kristian Sbaragli,1.75,74,Empoli,Alpecin-Deceuninck,90,536,32,IT
Jakub Mareczko,1.69,67,Jarosław,Alpecin-Deceuninck,275,232,28,IT
Silvan Dillier,1.83,75,Aarau,Alpecin-Deceuninck,76,588,32,CH
Xandro Meurisse,1.81,71,Kortrijk,Alpecin-Deceuninck,262,243,31,BE
Dries De Bondt,1.85,73,Bornem,Alpecin-Deceuninck,384,158,31,BE
Ramon Sinkeldam,1.93,77,Zaandam,Alpecin-Deceuninck,88,543,34,NL
Gianni Vermeersch,1.73,65,Roeselare,Alpecin-Deceuninck,321,199,30,BE
Quinten Hermans,1.74,62,Antwerp,Alpecin-Deceuninck,668,69,27,BE
Oscar Riesebeek,1.91,78,Ede,Alpecin-Deceuninck,213,277,30,NL
Alexander Krieger,1.84,71,Stuttgart,Alpecin-Deceuninck,50,744,31,DE
Robert Stannard,1.79,74,Sydney,Alpecin-Deceuninck,328,196,24,AU
Michael Gogl,1.86,71,Gmunden,Alpecin-Deceuninck,51,738,29,AT
Jonas Rickaert,1.87,88,Sint-Eloois-Vijve,Alpecin-Deceuninck,5,1833,29,BE
Stefano Oldani,1.78,65,Milan,Alpecin-Deceuninck,387,154,25,IT
Jimmy Janssens,1.83,74,Herentals,Alpecin-Deceuninck,95,509,33,BE
Nicola Conci,1.84,68,Trente,Alpecin-Deceuninck,348,181,26,IT
Lionel Taminiaux,1.73,74,Ottignies-Louvain-la-Neuve,Alpecin-Deceuninck,209,280,26,BE
Edward Planckaert,1.78,71,Kortrijk,Alpecin-Deceuninck,40,854,28,BE
Tobias Bayer,1.87,70,Ried im Innkreis,Alpecin-Deceuninck,139,381,23,AT
Senne Leysen,1.9,78,Tielen,Alpecin-Deceuninck,40,855,26,BE
Robbe Ghys,1.82,72,Hasselt,Alpecin-Deceuninck,101,484,26,BE
Fabio Van Den Bossche,1.76,63,Ghent,Alpecin-Deceuninck,27,1052,22,BE
Jensen Plowright,1.76,80,Melbourne,Alpecin-Deceuninck,39,871,22,AU
Maurice Ballerstedt,1.85,76,Berlin,Alpecin-Deceuninck,39,872,22,DE
Jason Osborne,1.78,70,Mainz,Alpecin-Deceuninck,55,713,28,DE
Samuel Gaze,1.89,80,Tokoroa,Alpecin-Deceuninck,20,1178,27,NZ
Mark Cavendish,1.75,70,Douglas,Astana Qazaqstan Team,491.29,110,37,GB
León Sánchez Luis,1.86,73,Mula,Astana Qazaqstan Team,360,173,39,ES
Alexey Lutsenko,1.74,74,Petropavl,Astana Qazaqstan Team,477.29,113,30,KZ
Fabio Felline,1.75,68,Turin,Astana Qazaqstan Team,110,443,32,IT
Gianni Moscon,1.82,70,Trento,Astana Qazaqstan Team,54,720,28,IT
David De La Cruz,1.82,66,Sabadell,Astana Qazaqstan Team,107,456,33,ES
Andrey Zeits,1.89,73,Oblast Pavlodar,Astana Qazaqstan Team,179,322,36,KZ
Joe Dombrowski,1.85,68,Marshall,Astana Qazaqstan Team,109,447,31,US
Cees Bol,1.94,83,Zaandam,Astana Qazaqstan Team,121.29,420,27,NL
Manuele Boaro,1.73,64,Bassano del Grappa,Astana Qazaqstan Team,45,790,35,IT
Dmitriy Gruzdev,1.85,78,Astana,Astana Qazaqstan Team,50.28999999,743,36,KZ
Simone Velasco,1.7,59,Bologna,Astana Qazaqstan Team,220,274,27,IT
Yevgeniy Gidich,1.79,69,Kökşetaw,Astana Qazaqstan Team,63,645,26,KZ
Martin Laas,1.76,74,Tartu,Astana Qazaqstan Team,56,702,29,EE
Samuele Battistella,1.8,67,Castelfranco Veneto,Astana Qazaqstan Team,362,171,24,IT
Alexandr Riabushenko,1.78,61,Minsk,Astana Qazaqstan Team,46,781,27,BY
Davide Martinelli,1.86,71,Brescia,Astana Qazaqstan Team,30.28999999,967,29,IT
Vadim Pronskiy,1.73,58,Astana,Astana Qazaqstan Team,130,402,24,KZ
Yevgeniy Fedorov,1.93,80,Aktobe,Astana Qazaqstan Team,163,344,23,KZ
Leonardo Basso,1.77,63,Castelfranco Veneto,Astana Qazaqstan Team,40,853,29,IT
Christian Scaroni,1.75,63,Brescia,Astana Qazaqstan Team,152,363,25,IT
Harold Tejada,1.8,63,Pitalito,Astana Qazaqstan Team,131.29,397,25,CO
Antonio Nibali,1.8,65,Messina,Astana Qazaqstan Team,45,793,30,IT
Yuriy Natarov,1.86,68,Talgar,Astana Qazaqstan Team,47,772,26,KZ
Igor Chzhan,1.85,71,Taldykorgan,Astana Qazaqstan Team,100,488,23,KZ
Javier Romo,1.84,70,Villafranca de los Caballeros,Astana Qazaqstan Team,26.28999999,1059,24,ES
Gleb Brussenskiy,1.78,64,Kokshetau,Astana Qazaqstan Team,82,570,22,KZ
Gianmarco Garofoli,1.8,70,Ancona,Astana Qazaqstan Team,1,2302,20,IT
Nurbergen Nurlykhassym,1.8,65,Astana,Astana Qazaqstan Team,4,1951,22,KZ
Mikel Landa,1.73,60,Murgia,Bahrain - Victorious,998,34,33,ES
Wout Poels,1.83,66,Venray,Bahrain - Victorious,241.86,260,35,NL
Damiano Caruso,1.79,67,Ragusa,Bahrain - Victorious,680,67,35,IT
Pello Bilbao,1.74,60,Guernica,Bahrain - Victorious,1669.86,5,33,ES
Heinrich Haussler,1.81,74,Inverell,Bahrain - Victorious,92,521,39,AU
Matej Mohorič,1.85,72,Kranj,Bahrain - Victorious,1014,32,28,SI
Andrea Pasqualon,1.74,68,Bassano del Grappa,Bahrain - Victorious,418,141,35,IT
Jack Haig,1.9,67,Southport,Bahrain - Victorious,330,194,29,AU
Yukiya Arashiro,1.7,64,Ishigaki,Bahrain - Victorious,92,522,38,JP
Phil Bauhaus,1.84,71,Bocholt,Bahrain - Victorious,571.86,84,28,DE
Hermann Pernsteiner,1.68,55,Oberwart,Bahrain - Victorious,195,297,32,AT
Gino Mäder,1.81,61,Flawil,Bahrain - Victorious,316,203,26,CH
Jasha Sütterlin,1.84,78,Freiburg im Breisgau,Bahrain - Victorious,89,541,30,DE
Santiago Buitrago,1.74,59,Bogotá,Bahrain - Victorious,589,82,23,CO
Kamil Gradek,1.94,81,Koziegłowy,Bahrain - Victorious,47,766,32,PL
Fred Wright,1.84,75,London,Bahrain - Victorious,536,92,23,GB
Dušan Rajović,1.83,74,Kraljevo,Bahrain - Victorious,59,683,25,RS
Jonathan Milan,1.94,84,Tolmezzo,Bahrain - Victorious,230,268,22,IT
Filip Maciejuk,1.9,78,Pulawy,Bahrain - Victorious,36,899,23,PL
Edoardo Zambanini,1.8,62,Riva del Garda,Bahrain - Victorious,180,321,21,IT
Matevž Govekar,1.8,73,Ljubljana,Bahrain - Victorious,113.86,438,22,SI
Johan Price-Pejtersen,1.97,77,Frederiksberg,Bahrain - Victorious,18.86000001,1202,23,DK
Cameron Scott,1.83,80,Wagga Wagga,Bahrain - Victorious,30,987,25,AU
Sergio Tu,1.78,63,Taipei,Bahrain - Victorious,6,1788,26,TW
Sam Bennett,1.78,73,Wervik,BORA - hansgrohe,816.57,51,32,IE
Bob Jungels,1.89,70,Rollingen,BORA - hansgrohe,559,87,30,LU
Danny Van Poppel,1.84,82,Moergestel,BORA - hansgrohe,730.57,59,29,NL
Aleksandr Vlasov,1.86,68,Vyborg,BORA - hansgrohe,1411,8,26,RU
Patrick Konrad,1.74,64,Mödling,BORA - hansgrohe,425,137,31,AT
Maximilian Schachmann,1.83,70,Berlin,BORA - hansgrohe,244,257,29,DE
Emanuel Buchmann,1.79,59,Ravensburg,BORA - hansgrohe,403.57,147,30,DE
Sergio Higuita,1.66,57,Medellín,BORA - hansgrohe,1273,15,25,CO
Jai Hindley,1.75,60,Perth,BORA - hansgrohe,1207,19,26,AU
Nils Politt,1.92,80,Cologne,BORA - hansgrohe,360,174,29,DE
Marco Haller,1.78,72,Sankt Veit an der Glan,BORA - hansgrohe,360,172,31,AT
Lennard Kämna,1.81,65,Wedel,BORA - hansgrohe,348,180,26,DE
Jordi Meeus,1.9,80,Lommel,BORA - hansgrohe,564,86,24,BE
Cesare Benedetti,1.7,63,Rovereto,BORA - hansgrohe,66,630,35,PL
Jonas Koch,1.87,75,Schwäbisch Hall,BORA - hansgrohe,101,483,29,DE
Giovanni Aleotti,1.8,67,Mirandola,BORA - hansgrohe,316,204,23,IT
Nico Denz,1.83,71,Waldshut-Tiengen,BORA - hansgrohe,90,535,29,DE
Ryan Mullen,1.89,77,Birkenhead,BORA - hansgrohe,101.57,479,28,IE
Matteo Fabbro,1.67,52,Udine,BORA - hansgrohe,64,640,27,IT
Ide Schelling,1.82,66,The Hague,BORA - hansgrohe,114,437,25,NL
Shane Archbold,1.82,79,Timaru,BORA - hansgrohe,15.56999999,1288,34,NZ
Matthew Walls,1.77,72,Manchester,BORA - hansgrohe,20,1174,24,GB
Ben Zwiehoff,1.82,61,Essen,BORA - hansgrohe,188.57,308,29,DE
Patrick Gamper,1.94,86,Wien,BORA - hansgrohe,59.56999999,679,26,AT
Frederik Wandahl,1.78,61,Stockholm,BORA - hansgrohe,142,376,21,DK
Victor Koretzky,1.8,69,Béziers,BORA - hansgrohe,64,643,28,FR
Anton Palzer,1.78,62,Berchtesgaden,BORA - hansgrohe,18,1232,29,DE
Luis-Joe Lührs,1.79,66,München,BORA - hansgrohe,5.829999983,1818,20,DE
Ion Izagirre,1.73,60,Ormaiztegi,Cofidis,519,97,34,ES
Bryan Coquard,1.71,59,Saint-Nazaire,Cofidis,603,77,30,FR
Guillaume Martin,1.73,55,Paris,Cofidis,856,49,29,FR
Jesús Herrada,1.83,70,Mota del Cuervo,Cofidis,723,62,32,ES
Simon Geschke,1.71,64,Berlin,,357,176,36,DE
Davide Cimolai,1.82,70,Pordenone,Cofidis,97,500,33,IT
Max Walscheid,1.99,90,Neuwied,Cofidis,496,107,29,DE
Simone Consonni,1.65,60,Ponte San Pietro,Cofidis,600,79,28,IT
José Herrada,1.75,65,Mota del Cuervo,,45,789,37,ES
Jelle Wallays,1.85,77,Roeselare,Cofidis,13,1390,33,BE
Rubén Fernández,1.77,60,Murcia,Cofidis,136,386,32,ES
Pierre-Luc Périchon,1.82,69,Bourg-en-Bresse,Cofidis,89,540,36,FR
Benjamin Thomas,1.79,68,Lavaur,Cofidis,602,78,27,FR
Piet Allegaert,1.81,70,Moorslede,Cofidis,504,103,28,BE
Jonathan Lastra,1.72,64,Bilbao,Cofidis,271,235,29,ES
Anthony Perez,1.9,70,Toulouse,Cofidis,341,189,31,FR
Axel Zingle,1.73,67,Mulhouse,Cofidis,732,58,24,FR
Wesley Kreder,1.83,71,Leiden,Cofidis,50,745,32,NL
Christophe Noppe,1.76,73,Oudenaarde,Cofidis,99,491,28,BE
Victor Lafay,1.77,65,Lyon,Cofidis,325,198,27,FR
Rémy Rochas,1.64,51,La Motte-Servolex,Cofidis,163,341,26,FR
François Bidard,1.8,65,Lonlay-l'Abbaye,Cofidis,16,1270,30,FR
Alexis Renard,1.86,75,Saint-Brieuc,Cofidis,57,696,23,FR
Alexandre Delettre,1.7,62,Gonesse,Cofidis,47,774,25,FR
Eddy Finé,1.8,70,Herbeys,Cofidis,83,568,25,FR
Andre Carvalho,1.81,66,Vila Nova de Famalicão,Cofidis,30,968,25,PT
Thomas Champion,1.93,70,Saint-Sébastien-sur-Loire,Cofidis,35,914,23,FR
Axel Mariault,1.69,58,Liffré,Cofidis,69,624,24,FR
Hugo Toumire,1.8,69,Rouen,Cofidis,17,1256,21,FR
Rigoberto Urán,1.73,63,Urrao,EF Education-EasyPost,612,75,36,CO
Richard Carapaz,1.7,62,El Carmelo,EF Education-EasyPost,1189,20,29,EC
Esteban Chaves,1.64,55,Bogota,EF Education-EasyPost,457,120,33,CO
Magnus Cort,1.83,68,Rønne,EF Education-EasyPost,568,85,30,DK
Jens Keukeleire,1.85,69,Brugge,EF Education-EasyPost,58,688,34,BE
Hugh Carthy,1.93,69,Preston,EF Education-EasyPost,500,104,28,GB
Alberto Bettiol,1.8,69,Poggibonsi,EF Education-EasyPost,557,89,29,IT
Andrey Amador,1.81,73,San José,EF Education-EasyPost,45.28999996,786,36,CR
Neilson Powless,1.83,67,Eglin,EF Education-EasyPost,1101,25,26,US
Merhawi Kudus,1.73,58,Asmara,EF Education-EasyPost,93,514,29,ER
Christian Eiking Odd,1.82,75,Stord,EF Education-EasyPost,162,345,28,NO
Frølich Honoré Mikkel,1.85,68,Fredericia,EF Education-EasyPost,285,225,26,DK
Owain Doull,1.81,71,Cardiff,EF Education-EasyPost,97,497,29,GB
Mark Padun,1.82,67,Donetsk,EF Education-EasyPost,102,476,26,UA
Stefan Bissegger,1.78,78,Weinfelden,EF Education-EasyPost,228.6700001,269,24,CH
Łukasz Wiśniowski,1.91,78,Ciechanów,EF Education-EasyPost,34.28999996,920,31,PL
Klever Caicedo Jonathan,1.64,62,Santa Martha de Cuba,EF Education-EasyPost,93,515,29,EC
Stefan De Bod,1.82,66,Worcester,EF Education-EasyPost,247.29,253,26,ZA
Marijn Van Den Berg,1.83,73,De Meern,EF Education-EasyPost,304.29,208,23,NL
James Shaw,1.79,63,Nottingham,EF Education-EasyPost,146,372,26,GB
Tom Scully,1.88,85,Invercargill,EF Education-EasyPost,30,971,33,NZ
Andrea Piccolo,1.82,64,Magenta,EF Education-EasyPost,439,132,21,IT
Julius Van Den Berg,1.89,78,Purmerend,EF Education-EasyPost,95,510,26,NL
Alexander Cepeda Jefferson,1.64,56,El Playón de San Francisco,EF Education-EasyPost,177,323,24,EC
Jonas Rutsch,1.97,82,Erbach im Odenwald,EF Education-EasyPost,114,436,25,DE
Simon Carr,1.82,63,Hereford,EF Education-EasyPost,101.29,480,24,GB
Sean Quinn,1.86,67,Los Angeles,EF Education-EasyPost,158,353,22,US
Ben Healy,1.75,65,Kingswinford,EF Education-EasyPost,128,406,22,IE
Andrés Camargo Diego,1.76,65,Tuta,EF Education-EasyPost,39.28999996,866,24,CO
Arnaud Démare,1.81,76,Beauvais,Groupama - FDJ,1336,11,31,FR
Thibaut Pinot,1.8,63,Lure,,762,56,32,FR
Stefan Küng,1.93,83,Wil,Groupama - FDJ,1335.67,12,29,CH
David Gaudu,1.72,53,Landivisiau,Groupama - FDJ,904,43,26,FR
Matthieu Ladagnous,1.82,73,Pau,,40,849,38,FR
Valentin Madouas,1.79,71,Brest,Groupama - FDJ,1086,27,26,FR
Rudy Molard,1.78,62,Gleizé,Groupama - FDJ,462,119,33,FR
Ignatas Konovalovas,1.9,74,Panevėžys,Groupama - FDJ,47,769,37,LT
Quentin Pacher,1.79,62,Libourne,Groupama - FDJ,373,166,31,FR
Michael Storer,1.74,63,Perth,Groupama - FDJ,345,184,26,AU
Bram Welten,1.88,81,Tilburg,Groupama - FDJ,249,252,25,NL
Olivier Le Gac,1.8,70,Brest,Groupama - FDJ,130,400,29,FR
Jake Stewart,1.79,66,Coventry,Groupama - FDJ,397,149,23,GB
Fabian Lienhard,1.83,73,Steinmaur,Groupama - FDJ,107,455,29,CH
Kevin Geniets,1.93,73,Esch-sur-Alzette,Groupama - FDJ,266,241,26,LU
Bruno Armirail,1.9,74,Bagnères-de-Bigorre,Groupama - FDJ,210,279,28,FR
Miles Scotson,1.91,76,Adelaide,Groupama - FDJ,67,627,29,AU
Paul Penhoët,1.73,64,Clamart,Groupama - FDJ,189,307,21,FR
Romain Grégoire,1.76,64,Besançon,Groupama - FDJ,236.33,264,20,FR
Lewis Askey,1.87,75,Cannock,Groupama - FDJ,158,354,21,GB
Laurence Pithie,1.85,74,Christchurch,Groupama - FDJ,39.66000006,865,20,NZ
Reuben Thompson,1.83,63,Queenstown,Groupama - FDJ,107.33,453,22,NZ
Samuel Watson,1.86,68,Leeds,Groupama - FDJ,129.33,403,21,GB
Lenny Martinez,1.68,52,Cannes,Groupama - FDJ,136.33,385,19,FR
Lars Van Den Berg,1.85,72,De Meern,Groupama - FDJ,10,1507,24,NL
Clément Davy,1.83,73,Fougères,Groupama - FDJ,44,810,24,FR
Enzo Paleni,1.8,65,Aix-en-Provence,Groupama - FDJ,57.33000001,693,20,FR
Lorenzo Germani,1.79,62,Sora,Groupama - FDJ,35.33000001,904,21,IT
Elia Viviani,1.78,67,Isola della Scala,INEOS Grenadiers,210.5699999,278,34,IT
Michał Kwiatkowski,1.76,68,Chełmża,INEOS Grenadiers,290,222,32,PL
Geraint Thomas,1.83,71,Cardiff,INEOS Grenadiers,990,35,36,GB
Egan Bernal,1.75,60,Bogotá,INEOS Grenadiers,7,1695,26,CO
Ben Swift,1.79,69,Rotherham,INEOS Grenadiers,124.5699999,413,35,GB
Jonathan Castroviejo,1.71,62,Getxo,INEOS Grenadiers,121,421,35,ES
Felipe Martínez Daniel,1.72,63,Soacha,INEOS Grenadiers,1321,13,26,CO
Tao Geoghegan Hart,1.83,65,London,INEOS Grenadiers,532,93,27,GB
Filippo Ganna,1.93,83,Verbania,INEOS Grenadiers,663.3299999,70,26,IT
Pavel Sivakov,1.88,70,San Donà di Piave,INEOS Grenadiers,614,74,25,FR
Ethan Hayter,1.8,69,London,INEOS Grenadiers,905,42,24,GB
Thomas Pidcock,1.7,58,Leeds,INEOS Grenadiers,1092,26,23,GB
Luke Rowe,1.85,72,Cardiff,INEOS Grenadiers,60,669,32,GB
Omar Fraile,1.84,72,Santurtzi,INEOS Grenadiers,164,337,32,ES
Carlos Rodríguez,1.83,67,Almuñécar,INEOS Grenadiers,892,45,22,ES
Jhonatan Narváez,1.74,65,Playón de San Francisco,INEOS Grenadiers,300,214,26,EC
Thymen Arensman,1.92,68,Deil,INEOS Grenadiers,1040,30,23,NL
Laurens De Plus,1.89,67,Aalst,INEOS Grenadiers,57,695,27,BE
Salvatore Puccio,1.82,68,Menfi,INEOS Grenadiers,35,909,33,IT
Connor Swift,1.9,75,Thorne,INEOS Grenadiers,187,311,27,GB
Magnus Sheffield,1.83,74,Pittsford,INEOS Grenadiers,702,63,20,US
Cameron Wurf,1.71,71,Sandy Bay,INEOS Grenadiers,12.56999993,1408,39,AU
Ben Tulett,1.69,56,Sevenoaks,INEOS Grenadiers,391.5699999,151,21,GB
Luke Plapp,1.81,72,Melbourne,INEOS Grenadiers,515.2399999,99,22,AU
Ben Turner,1.94,74,Doncaster,INEOS Grenadiers,453,124,23,GB
Smith Rivera Brandon,1.7,60,Zipaquirá,INEOS Grenadiers,125,412,26,CO
Leo Hayter,1.78,66,London,INEOS Grenadiers,63,648,21,GB
Kim Heiduk,1.84,70,Herrenberg,INEOS Grenadiers,40.56999993,843,23,DE
Joshua Tarling,1.94,88,Aberaeron,INEOS Grenadiers,19.56999993,1189,19,GB
Michael Leonard,1.7,60,Oakville,INEOS Grenadiers,0,,18,CA
Rui Costa,1.87,75,Póvoa de Varzim,Intermarché - Circus - Wanty,606,76,36,PT
Rein Taaramäe,1.86,68,Tartu,Intermarché - Circus - Wanty,246,255,35,EE
Louis Meintjes,1.73,58,Pretoria,Intermarché - Circus - Wanty,899,44,31,ZA
